0nome974681252,974681252,445605156,-2038319636
1nome620080385,620080385,562102952,1502840832
2nome482810822,482810822,946392893,988670193
3nome837082854,837082854,277052065,-765964283
4nome860837032,860837032,810992796,-1052675644
5nome271436461,271436461,573711124,-203335312
6nome655543906,655543906,246547272,52899400
7nome73724446,73724446,761715925,-123970015
8nome946400929,946400929,544798607,-1680233632
9nome292093234,292093234,521448417,624575249
10nome144776271,144776271,979288526,2023724228
11nome346101832,346101832,669043241,2048190815
12nome592973740,592973740,840182218,-1654997010
13nome688238155,688238155,39424285,152479842
14nome259815222,259815222,540713917,1355596065
15nome164594781,164594781,483261672,939950944
16nome986640564,986640564,178905883,-1754457119
17nome780287883,780287883,386337861,-958687182
18nome439190420,439190420,392233777,-1695291357
19nome862034566,862034566,384693962,-794772750
20nome890687501,890687501,500478762,1327924728
21nome873346893,873346893,839055425,1137027660
22nome653113164,653113164,694598524,-1964338860
23nome340320822,340320822,411472503,1587634339
24nome997849416,997849416,226330923,-1769021971
25nome498662802,498662802,194512729,760684137
26nome110990247,110990247,281525379,1092253170
27nome702355548,702355548,58521929,-640649997
28nome42838112,42838112,821624805,1333149179
29nome555911072,555911072,176338369,2041162207
30nome977354890,977354890,329736876,1659555340
31nome528613738,528613738,766141881,1950052833
32nome536019242,536019242,427751590,-1277134698
33nome494058224,494058224,732977190,2023352186
34nome748203309,748203309,806502415,894772628
35nome78633679,78633679,11774995,2115609930
36nome11008625,11008625,335696966,16464544
37nome401265518,401265518,414373977,-1395558171
38nome814053373,814053373,992333584,1606960064
39nome60073855,60073855,707179774,-1678326012
40nome741814403,741814403,144279717,-553036854
41nome876511272,876511272,510080218,1358040374
42nome130671512,130671512,952695343,1816805049
43nome934082748,934082748,680049020,1390386580
44nome832914761,832914761,976590337,-1339722424
45nome100892312,100892312,42106703,227473817
46nome880547425,880547425,890714003,-1364231904
47nome535828585,535828585,993564527,-968889064
48nome730669841,730669841,740687146,1914605728
49nome66903779,66903779,250054188,-2045863208
50nome1943204,1943204,233149753,-1620706997
51nome528719039,528719039,74761829,943704822
52nome643780042,643780042,662536982,-1423734202
53nome537618761,537618761,430136579,-1774623784
54nome186558687,186558687,118631355,928949290
55nome628292178,628292178,742570144,-2136429920
56nome18671763,18671763,589179046,1949408940
57nome477604730,477604730,469076095,-1874634489
58nome906445082,906445082,846440094,753623918
59nome324638125,324638125,671555937,-655302100
60nome369661455,369661455,500066771,65235850
61nome757612017,757612017,133749956,-1198937152
62nome977155672,977155672,268451308,-196291788
63nome365578506,365578506,573060174,1440748734
64nome789706610,789706610,935564952,1002053912
65nome509935057,509935057,248204333,-150315632
66nome285065106,285065106,285784216,367130136
67nome52044764,52044764,693938043,-2136533191
68nome743127901,743127901,235269107,1270008916
69nome659887820,659887820,184159932,-1174808812
70nome635096397,635096397,528885811,1685243428
71nome215058051,215058051,211264110,-2016145444
72nome598326354,598326354,553367070,-1657755778
73nome314297910,314297910,660835190,1829163886
74nome967404876,967404876,967605319,810656717
75nome125539048,125539048,943791227,-250095363
76nome57069524,57069524,289629136,-316640144
77nome359027299,359027299,527789849,-109016686
78nome184002725,184002725,473499070,1990090168
79nome789244998,789244998,383022549,-1187635607
80nome168501233,168501233,584730954,632466272
81nome428527924,428527924,842240637,1195391975
82nome433204451,433204451,600207008,259074368
83nome350477955,350477955,83154397,-1128185798
84nome345496438,345496438,466968611,-1301815041
85nome472041456,472041456,370829978,737885126
86nome373097356,373097356,123533602,1602268022
87nome817106296,817106296,953654838,-1120188134
88nome879560930,879560930,516810507,501180587
89nome957937735,957937735,788617263,-483154726
90nome714415899,714415899,428801650,-1246780012
91nome575096275,575096275,694292546,-1491001308
92nome218474400,218474400,121336757,-1175392149
93nome820663969,820663969,358347043,913733600
94nome931384071,931384071,56515457,1892184070
95nome924286946,924286946,172924465,-856008687
96nome679912180,679912180,897895340,1375218756
97nome501593441,501593441,855300721,-1365717152
98nome791128491,791128491,125164918,712111708
99nome196326647,196326647,395501198,-1561873292
100nome265884067,265884067,615580610,-2034875708
101nome398252631,398252631,618944893,-877231618
102nome898229600,898229600,758214773,1720607851
103nome608094555,608094555,816862437,1411097986
104nome341665012,341665012,630381953,-1798593165
